id,name
FL5sK,The Sad Onion
5o9fB,The Inner Eye
Q5EUE,Spoon Bender
KqmKK,Max's Head
F9Mcn,My Reflection
Hxhyn,Number One
WMiun,Blood Of The Martyr
lHWTr,Brother Bobby
JfRsv,Skatole
TqKJo,Cube Of Meat
VnG6X,The Bean
RBbx3,Halo Of Flies
Fi7wn,1UP
oBABM,Magic Mushroom
CC5ot,The Virus
MYrgM,Roid Rage
gGBZ0,Less Than Three
CkDDJ,Raw Liver
t3wa3,Skeleton Key
YHhYP,A Dollar
fXgdx,A Quarter
V7gm7,Guardian Angel
H3pZH,Boom
gFlTR,Transcendence
LPFzI,The Compass
6QZtz,Lunch
leu9b,Dinner
dwZoa,Dessert
lnl0s,Breakfast
zaAbW,Rotten Meat
r44HX,Wooden Spoon
NtdsT,PHD
RcEt7,Demon Baby
RRpYm,The Belt
QMuV6,Mom's Underwear
E6EZQ,Mom's Heels
wDUK0,Mom's Lipstick
n5Jo5,Wire Coat Hanger
nWcF1,Rosary
3WG8Q,The Bible
CfQZI,The Book Of Belial
V7vYI,The Necronomicon
GXags,XRay Vision
oPqCL,Mom's Knife
69aOO,The Poop
KqPvP,Mr. Boom
IYQ0w,Tammy's Head
LScfj,Mom's Bra
8CzRh,Kamikaze
hF0ws,Mom's Pad
1quq3,Bob's Rotten Head
FEpIg,Pills
sRgHI,Teleport!
xgYVI,My Little Unicorn
5XZCp,Ouija Board
FWSzi,Yum Heart
GENus,Lucky Foot
Dy9Ph,Doctor's Remote
HxgbK,Cupid's Arrow
coZIX,Shoop Da Whoop!
GVqeF,Steven (item)
2JrEs,Pentagram
xMIZF,Dr Fetus
4vQ5y,Magneto
fv4EL,Book Of Revelations
GGxkj,9 Volt
VrKPS,Treasure Map
v4RIo,Mom's Eye
Q38Re,Lemon Mishap
HNmhi,Distant Admiration
KOPsZ,Book Of Shadows
sDK6I,Wiggle Worm
yh0zg,The Ladder
YXefk,Tarot Cards
UXiR8,Charm Of The Vampire
Y5hN0,The Mark
B3dFO,Dead Bird
BfnP2,The Battery
gJDpo,Steam Sale
hz3cQ,Anarchist Cookbook
FynYW,The Hourglass
wtNEd,Sister Maggy
x0yLh,Technology
qv2iz,Chocolate Milk
R5HLk,Growth Hormones
Mt3IC,Mini Mushroom
5VvoN,The Pact
k4E6T,Brimstone
fOZTF,Dead Cat
doitD,Lord Of The Pit
rkcHi,The Nail
g8DL3,We Need To Go Deeper!
OPF3t,Deck of Cards
oUPBT,Monstro's Tooth
4YKNr,Loki's Horns
Miyvb,Little Chubby
LDSbI,Spider's Bite
MsavF,Small Rock
9haGF,Blood Bag
koXW0,Spelunker Hat
YlEJn,Super Bandage
3tyw9,The Gamekid
fcDUL,Sack Of Pennies
ZldCj,Robo-Baby
FaPoU,Little C.H.A.D.
nj5Ak,The Book Of Sin
M6YTD,The Relic
7pG1L,Little Gish
2XINd,Little Steve
uG9YB,Odd Mushroom (Thin)
LZToV,The Halo
bkxqi,Mom's Bottle of Pills
ET5Zx,The Common Cold
6V9pU,The Parasite
b92O1,The Dice
aAWNG,Mr. Mega
avszZ,The Pinking Shears
LquqQ,The Wafer
GF9lB,Money Equals Power
6JKUM,Mom's Contacts
FZu09,Odd Mushroom Large
jkFrK,Whore of Babylon
D4gju,Monster Manuel
Oj0pg,Dead Sea Scrolls
HlFtG,Bobby-Bomb
FoJiW,Razor Blade
tmDYn,Forget Me Now
sC4Jz,Forever Alone
lSSVQ,Bucket Of Lard
2OWIQ,A Pony
J71v7,Bomb Bag
pYWTI,A Lump Of Coal
