id,name
xWPxL,Black Fly
3ot7Z,Attack Fly
iK4uM,Ring Fly
Rty6q,Dart Fly
B4Vbz,Swarm Fly
pfj4n,Hush Fly
YaF7j,Moter
ry7Ua,Eternal Fly
YaGZp,Pooter
LMCDe,Fat Fly
gs6UX,Boom Fly
plQUT,Red Boom Fly
abcAv,Drowned Boom Fly
Bzoer,Level 2 Fly
p7mbN,Full Fly
gZVST,Sucker
7GFNZ,Spit
mLE6V,Dip
vuKDM,Corn Dip
Jv6Mk,Squirt
N6WWA,Dank Squirt
mFJUH,Dinga
yKfJS,Spider
aaW0A,Big Spider
KruQ8,Trite
F5Ta0,Ragling
PJ6Pl,Level 2 Spider
VKq9n,Ticking Spider
icZ0S,Baby Long Legs
AFvzN,Small Baby Long Legs
bG5Lf,Crazy Long Legs
GJgId,Small Crazy Long Legs
fv7EQ,Wall Creep
TOwix,Blind Creep
FHsB6,Rage Creep
af31L,Boil
6m78r,Gut
i0vFD,Sack
PHIeR,Blue Boil
BmmeN,Walking Boil
qVIN9,Walking Gut
TswBe,Walking Sack
GA8TG,Round Worm
Ii7MK,Nightcrawler
twGCn,Roundy
fa6Ly,Ulcer
0ug2s,Mulligan
banyC,Mulligoon
xjnFL,Mulliboom
QkpIn,Hive
qzFxM,Nest
Ucw2z,Drowned Hive
bTCYd,Swarmer
DWmFO,Dukie
Drvui,Hopper
m8hEN,Flaming Hopper
fWD24,Leaper
QO3lh,Pacer
7w6ba,Gusher
Njgyo,Black Globin's Body
3Fjdf,Gaper
EAYKX,Frowning Gaper
lvSyk,Flaming Gaper
VKtsc,Cyclopia
nt5Hm,Blue Gaper
LypuM,Greed Gaper
857ij,Gurgle
3YMyY,Splasher
eMI7W,Skinny
te87a,Rotty
CzNjx,Mr. Maw
BVyk0,Horf
LZZjs,Psychic Horf
W0tuV,Maw
2S41X,Red Maw
c12kq,Psychic Maw
BqZeT,Bony
5eMPp,Black Bony
zfQ6e,Death's Head
hYD2E,Dank Death's Head
wvkEw,Flesh Death's Head
Moq6s,One Tooth
eOTdf,Fat Bat
7Tn4b,Lil' Haunt
iSdFu,Wizoob
On84I,Red Ghost
rEky9,Fatty
KQnUV,Flaming Fatty
EmDst,Conjoined Fatty
a2IHI,Blue Conjoined Fatty
yQWjr,Pale Fatty
IbtH7,Fat Sack
EdMbD,Blubber
l74LW,Half Sack
Eipw9,Globin
znnwd,Gazing Globin
UtVjO,Dank Globin
jLia3,Black Globin
5mrmJ,Knight
c5PfF,Selfless Knight
s8obh,Floating Knight
ROfws,Bone Knight
72Dht,Mask + Heart
EhHkb,Clotty
HRJ8l,Clot
DAcUV,I. Blob
5luMM,Mega Clotty
FzWjj,Mom's Hand
GBwDx,Mom's Dead Hand
Bcs7F,Maggot
hN0mz,Charger
KkLTR,Drowned Charger
3WoiG,Spitty
D4q0q,Conjoined Spitty
8jQta,Tumor
kTioH,Psy Tumor
FjIhO,Camillo Jr.
AlE01,Brain
IaaB6,MemBrain
yQ6Pb,Guts
5BV9D,Scarred Guts
cpBcl,Mama Guts
e7pWM,Buttlicker
m5iIU,Grub
3KCPg,Para-Bite
NXfO3,Scarred Para-Bite
J331A,Cod Worm
D3i6p,Fred
JYCwB,Lump
ai4xt,Leech
DlopH,Kamikaze Leech
qNnCI,Holy Leech
iI4yJ,Host
vmIZ5,Red Host
6EKM2,Walking Host
1J4Z4,Walking Red Host
gJ2XU,Meatball
jkhkw,Nerve Ending
M2Y7u,Vis
VXPKR,Double Vis
xbiN1,Scarred Double Vis
T2wH6,Chubber
hWVDp,Wall Hugger
BmLib,Slide
FQMiG,Poky
0Qy5n,Eye
CaLD4,Bloodshot Eye
vOwTU,Dople
Lcbkz,Evil Twin
m5Qxu,Embryo
F5svt,Baby
RsxKO,Angelic Baby
rxq8M,Imp
jBJzN,Homunculus
bzWfN,Begotten
pnIFQ,Null
gaWjl,Swinger
SBDQ5,Keeper
1y2zH,Hanger
lNhoL,Stone Grimace
vXj0Z,Vomit Grimace
iluuT,Gaping Maw
D6acd,Turret Grimace
B2xer,Stone Eye
ep7IU,Brimstone Grimace
lWtkd,Oob
yRTrQ,Black Maw
